,id,participant,song
22091,22091,0,0
15435,15435,0,0
3999,3999,0,0
11377,11377,0,0
19683,19683,0,0
14610,14610,0,0
12054,12054,0,0
2274,2274,0,0
11746,11746,0,0
9987,9987,0,0
3778,3778,0,0
23049,23049,0,0
20638,20638,0,0
12826,12826,0,0
6091,6091,0,0
12334,12334,0,0
23653,23653,0,0
17794,17794,0,0
5490,5490,0,0
4461,4461,0,0
181,181,0,0
6979,6979,0,0
17045,17045,0,0
9075,9075,0,0
11600,11600,0,0
16498,16498,0,0
15111,15111,0,0
4283,4283,0,0
8320,8320,0,0
24198,24198,0,0
10259,10259,0,0
10853,10853,0,1
3254,3254,0,1
541,541,0,1
11948,11948,0,1
1599,1599,0,1
6734,6734,0,1
2662,2662,0,1
12680,12680,0,1
11749,11749,0,1
12830,12830,0,1
9747,9747,0,1
15359,15359,0,1
9636,9636,0,1
3692,3692,0,1
7420,7420,0,1
14763,14763,0,1
14513,14513,0,1
11377,11377,0,1
7263,7263,0,1
10378,10378,0,1
12168,12168,0,1
12449,12449,0,1
2971,2971,0,1
434,434,0,1
1948,1948,0,1
4327,4327,0,1
5809,5809,0,1
13493,13493,0,1
14088,14088,0,1
7726,7726,0,2
11360,11360,0,2
16868,16868,0,2
17150,17150,0,2
8042,8042,0,2
13853,13853,0,2
12255,12255,0,2
13301,13301,0,2
15790,15790,0,2
13588,13588,0,2
16753,16753,0,2
5596,5596,0,2
14024,14024,0,2
8189,8189,0,2
5389,5389,0,2
15532,15532,0,2
14486,14486,0,2
15438,15438,0,2
16356,16356,0,2
14225,14225,0,2
14652,14652,0,2
8854,8854,0,2
9125,9125,0,2
2070,2070,0,2
16020,16020,0,2
11734,11734,0,2
7579,7579,0,2
288,288,1,0
11665,11665,1,0
11081,11081,1,0
3661,3661,1,0
11602,11602,1,0
14418,14418,1,0
11565,11565,1,0
14656,14656,1,0
9552,9552,1,0
711,711,1,0
2969,2969,1,0
9769,9769,1,0
8480,8480,1,0
6284,6284,1,0
2430,2430,1,0
2825,2825,1,1
9658,9658,1,1
6068,6068,1,1
9551,9551,1,1
7204,7204,1,1
1486,1486,1,1
10048,10048,1,1
4733,4733,1,1
11432,11432,1,1
6009,6009,1,1
2849,2849,1,1
5697,5697,1,1
6695,6695,1,1
6250,6250,1,1
5772,5772,1,1
7109,7109,1,1
313,313,1,1
13803,13803,1,1
247,247,1,1
4215,4215,1,1
5804,5804,1,1
9632,9632,1,1
7235,7235,1,1
4812,4812,1,1
10023,10023,1,1
5922,5922,1,1
2874,2874,1,1
10804,10804,1,1
10335,10335,1,1
10311,10311,1,1
15984,15984,1,1
2406,2406,1,1
5746,5746,1,1
14064,14064,1,1
3663,3663,1,1
3139,3139,1,1
6587,6587,1,1
6340,6340,1,1
10838,10838,1,1
6309,6309,1,1
14551,14551,1,1
13522,13522,1,1
6648,6648,1,1
9688,9688,1,1
11230,11230,1,1
2057,2057,1,1
7154,7154,1,1
8595,8595,1,1
5853,5853,1,1
9591,9591,1,1
9825,9825,1,1
7179,7179,1,1
6274,6274,1,1
1159,1159,1,1
5886,5886,1,1
13227,13227,1,2
4328,4328,1,2
5631,5631,1,2
9852,9852,1,2
8911,8911,1,2
6548,6548,1,2
1266,1266,1,2
6456,6456,1,2
11791,11791,1,2
9043,9043,1,2
8835,8835,1,2
3252,3252,1,2
9931,9931,1,2
6770,6770,1,2
3335,3335,1,2
3190,3190,1,2
